question_code,label,survey,sub_dimension,dimension,factor,reverse_scored
finds_work_meaningful,purpose_1,wpm,purpose,centered,thriving,FALSE
feels_inspired,purpose_2,wpm,purpose,centered,thriving,FALSE
feels_sense_of_purpose,purpose_3,wpm,purpose,centered,thriving,FALSE
feels_fully_immersed,engage_1,wpm,engage,centered,thriving,FALSE
enjoys_work,engage_2,wpm,engage,centered,thriving,FALSE
feels_motivated,engage_3,wpm,engage,centered,thriving,FALSE
feels_emotionally_drained,burnout_1,wpm,burnout,centered,thriving,FALSE
feels_burned_out,burnout_2,wpm,burnout,centered,thriving,FALSE
dreads_going_to_work,burnout_3,wpm,burnout,centered,thriving,FALSE
struggles_with_stress,stress_1,wpm,stress,centered,thriving,FALSE
angers_over_inconveniences,stress_2,wpm,stress,centered,thriving,FALSE
feels_irritable,stress_3,wpm,stress,centered,thriving,FALSE
stays_focused_throughout_the_day,focus_1,wpm,focus,aware,thriving,FALSE
focuses_without_distraction,focus_2,wpm,focus,aware,thriving,FALSE
can_refocus_after_distraction,focus_3,wpm,focus,aware,thriving,FALSE
becomes_absorbed_by_work,flow_2,wpm,flow,aware,thriving,FALSE
finds_self_absorbed,flow_1,wpm,flow,aware,thriving,FALSE
loses_track_of_time,flow_3,wpm,flow,aware,thriving,FALSE
finds_values_important,values_1,wpm,values,aware,thriving,FALSE
understands_core_values,values_2,wpm,values,aware,thriving,FALSE
acts_according_to_values,values_3,wpm,values,aware,thriving,FALSE
thinks_about_non_current_events,mindful_1,wpm,mindful,aware,thriving,TRUE
distracted_by_non_current_events,mindful_2,wpm,mindful,aware,thriving,TRUE
acts_on_autopilot,mindful_3,wpm,mindful,aware,thriving,TRUE
controls_emotions,emoreg_1,wpm,emoreg,aware,thriving,FALSE
emotions_do_not_get_the_best_of_them,emoreg_2,wpm,emoreg,aware,thriving,FALSE
emotions_do_not_control_behavior,emoreg_3,wpm,emoreg,aware,thriving,FALSE
gets_back_on_track,resilience_1,wpm,resilience,agile,thriving,FALSE
recovers_from_stressful_experiences,resilience_2,wpm,resilience,agile,thriving,FALSE
copes_with_setbacks,resilience_3,wpm,resilience,agile,thriving,FALSE
likes_to_stretch_capabilities,growthmind_1,wpm,growthmind,agile,thriving,FALSE
enjoys_challenging_projects,growthmind_2,wpm,growthmind,agile,thriving,FALSE
enjoys_learning_from_projects,growthmind_3,wpm,growthmind,agile,thriving,FALSE
can_achieve_anything,control_1,wpm,control,agile,thriving,FALSE
believes_can_achieve_things_they_want,control_2,wpm,control,agile,thriving,FALSE
believes_has_control_over_life,control_3,wpm,control,agile,thriving,FALSE
believes_it_is_better_to_try_and_fail,risktol_1,wpm,risktol,agile,thriving,FALSE
expects_mistakes_for_new_projects,risktol_2,wpm,risktol,agile,thriving,FALSE
believes_growth_requires_risks,risktol_3,wpm,risktol,agile,thriving,FALSE
team_openly_discusses_problems,opencom_1,wpm,opencom,includes,inspiring,FALSE
ensures_others_are_comfortable_providing_feedback,opencom_2,wpm,opencom,includes,inspiring,FALSE
encourages_team_to_ask_for_help,opencom_3,wpm,opencom,includes,inspiring,FALSE
includes_team_in_discussions,participation_1,wpm,participation,includes,inspiring,FALSE
encourages_others_to_share_ideas,participation_2,wpm,participation,includes,inspiring,FALSE
encourages_others_to_participate_in_discussions,participation_3,wpm,participation,includes,inspiring,FALSE
has_high_quality_relationships_with_coworkers,relbuilding_1,wpm,relbuilding,includes,inspiring,FALSE
knows_coworkers_personally,relbuilding_2,wpm,relbuilding,includes,inspiring,FALSE
trusts_coworkers,relbuilding_3,wpm,relbuilding,includes,inspiring,FALSE
coworkers_can_discuss_problems,trustclimate_1,wpm,trustclimate,includes,inspiring,FALSE
cultivates_trust,trustclimate_2,wpm,trustclimate,includes,inspiring,FALSE
prevents_cliques_on_teams,trustclimate_3,wpm,trustclimate,includes,inspiring,FALSE
inspires_coworkers_to_think_creatively,motivating_1,wpm,motivating,elevates,inspiring,FALSE
expresses_energy_and_passion,motivating_2,wpm,motivating,elevates,inspiring,FALSE
communicates_vision_to_coworkers,motivating_3,wpm,motivating,elevates,inspiring,FALSE
helps_coworkers_craft_career_goals,coaching_1,wpm,coaching,elevates,inspiring,FALSE
has_open_conversations,coaching_2,wpm,coaching,elevates,inspiring,FALSE
suggests_coworkers_growth_opportunities,coaching_3,wpm,coaching,elevates,inspiring,FALSE
acknowledges_individuals,recog_1,wpm,recog,elevates,inspiring,FALSE
acknowledges_team_for_great_work,recog_2,wpm,recog,elevates,inspiring,FALSE
acknowledges_coworker_for_effort,recog_3,wpm,recog,elevates,inspiring,FALSE
allows_team_to_decide_best_way,encown_1,wpm,encown,elevates,inspiring,FALSE
gives_coworkers_autonomy,encown_2,wpm,encown,elevates,inspiring,FALSE
helps_coworkers_feel_ownership,encown_3,wpm,encown,elevates,inspiring,FALSE
ensures_clear_understanding_of_responsibilities,align_1,wpm,align,drives,inspiring,FALSE
ensures_coworkers_have_resources,align_2,wpm,align,drives,inspiring,FALSE
ensures_coworkers_understand_goals,align_3,wpm,align,drives,inspiring,FALSE
finds_creative_ways_to_solve_problems,probsolve_1,wpm,probsolve,drives,inspiring,FALSE
discusses_problem_solving_with_coworkers,probsolve_2,wpm,probsolve,drives,inspiring,FALSE
develops_strategies_with_coworkers,probsolve_3,wpm,probsolve,drives,inspiring,FALSE
provides_feedback,feedback_1,wpm,feedback,drives,inspiring,FALSE
compliments_team_members,feedback_2,wpm,feedback,drives,inspiring,FALSE
provides_feedback_to_coworkers,feedback_3,wpm,feedback,drives,inspiring,FALSE
uses_logic_to_persuade,influence_1,wpm,influence,drives,inspiring,FALSE
uses_goal_alignment_to_persuade,influence_2,wpm,influence,drives,inspiring,FALSE
asks_for_input_on_new_ideas,influence_3,wpm,influence,drives,inspiring,FALSE
is_satisfied_with_physical_health,health_1,wpm,health,wellbeing,,FALSE
is_satisfied_with_fitness,health_2,wpm,health,wellbeing,,FALSE
is_satisfied_with_diet,health_3,wpm,health,wellbeing,,FALSE
is_satisfied_with_energy,health_4,wpm,health,wellbeing,,FALSE
is_satisfied_with_sleep,health_5,wpm,health,wellbeing,,FALSE
is_satisfied_with_friendships,lifesat_1,wpm,lifesat,wellbeing,,FALSE
is_satisfied_with_family_life,lifesat_2,wpm,lifesat,wellbeing,,FALSE
is_satisfied_with_work_relationships,lifesat_3,wpm,lifesat,wellbeing,,FALSE
is_satisfied_with_leisure_time,lifesat_4,wpm,lifesat,wellbeing,,FALSE
is_satisfied_with_romantic_relationships,lifesat_5,wpm,lifesat,wellbeing,,FALSE
wants_a_coach_with_a_explorative_approach,coach_explore,coach_match,,,,FALSE
wants_a_coach_with_a_focused_and_direct_approach,coach_direct,coach_match,,,,FALSE
wants_a_coach_that_gives_me_the_autonomy_to_direct_my_learning,coach_autonomy,coach_match,,,,FALSE
wants_a_coach_that_provides_close_accountability_to_support_my_growth,coach_account,coach_match,,,,FALSE
focused_vs_explorative,focus_v_explore,coach_match,,,,FALSE
accountability_vs_autonomy,account_v_auto,coach_match,,,,FALSE
can_achieve_meaningful_change,achieve_change,motivation_matrix,,,,FALSE
good_time_for_working_with_coach,timing,motivation_matrix,,,,FALSE
clear_understanding_of_what_to_work_on,clarity,motivation_matrix,,,,FALSE
open_to_investing_in_personal_development,opentodev,motivation_matrix,,,,FALSE
first_name,first_name,demos,,,,FALSE
last_name,last_name,demos,,,,FALSE
job_title,job_title,demos,,,,FALSE
time_zone,time_zone,demos,,,,FALSE
is_manager,is_manager,demos,,,,FALSE
age,age,demos,,,,FALSE
gender,gender,demos,,,,FALSE
ethnicity,ethnicity,demos,,,,FALSE
educational_attainment,education,demos,,,,FALSE
wants_to_improve_focus,focus_focus,area_of_focus,,,,FALSE
wants_to_inspire_a_team,focus_inspire,area_of_focus,,,,FALSE
wants_to_increase_impact,focus_impact,area_of_focus,,,,FALSE
wants_to_become_more_open,focus_open,area_of_focus,,,,FALSE
wants_to_handle_stress_better,focus_stress,area_of_focus,,,,FALSE
wants_to_communicate_with_poise,focus_communicate,area_of_focus,,,,FALSE
can_be_on_my_own,psycap_resilience_1,psycap,resilience,,,FALSE
meeting_work_goals,psycap_hope_4,psycap,hope,,,FALSE
look_on_bright_side,psycap_optimism_1,psycap,optimism,,,FALSE
optimistic_about_future,psycap_optimism_2,psycap,optimism,,,FALSE
many_ways_to_reach_goals,psycap_hope_3,psycap,hope,,,FALSE
see_myself_as_successful,psycap_hope_2,psycap,hope,,,FALSE
confident_discussing_strategy,psycap_efficacy_2,psycap,efficacy,,,FALSE
many_ways_to_get_out_of_a_jam,psycap_hope_1,psycap,hope,,,FALSE
can_get_through_difficult_times,psycap_resilience_3,psycap,resilience,,,FALSE
take_stressful_things_in_stride,psycap_resilience_2,psycap,resilience,,,FALSE
confident_presenting_information,psycap_efficacy_3,psycap,efficacy,,,FALSE
confident_representing_work_area,psycap_efficacy_1,psycap,efficacy,,,FALSE
motivation,motivation,open_ended,,,,