item_key,subdimension,item_prompt,scale,dimension,factor,reverse_scored
finds_work_meaningful,purpose,I have found my work to be meaningful.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
feels_inspired,purpose,I have felt inspired by my work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
feels_sense_of_purpose,purpose,I have felt a sense of purpose at work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
feels_fully_immersed,engagement,I have felt fully immersed in my work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
enjoys_work,engagement,I have enjoyed my work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
feels_motivated,engagement,I have felt motivated to do my best at work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
feels_burned_out,burnout,I have felt burned out by my work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
feels_emotionally_drained,burnout,I have felt emotionally drained by my work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
dreads_going_to_work,burnout,I have dreaded going to work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
struggles_with_stress,stress,I have struggled to cope with stress.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
angers_over_inconveniences,stress,I have gotten angry over small inconveniences.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
feels_irritable,stress,I have felt irritable.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
stays_focused_throughout_the_day,focus,Throughout the day I can stay focused on what I want to accomplish without getting distracted.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
focuses_without_distraction,focus,It is easy for me to focus my attention on one thing for long periods of time.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
can_refocus_after_distraction,focus,When I get distracted it is easy for me to refocus my attention.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
finds_self_absorbed,flow,I often “get lost” in my work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
becomes_absorbed_by_work,flow,I often find myself completely absorbed in my work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
loses_track_of_time,flow,When I am working intensely I lose track of time.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
acts_according_to_values,values,I always act in accordance with my values.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
finds_values_important,values,My values are very important to me.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
understands_core_values,values,I have a clear understanding of my core values.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
thinks_about_non_current_events,mindfulness,I often find myself thinking about something other than what is happening right in front of me.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,TRUE
distracted_by_non_current_events,mindfulness,I often get distracted thinking about past or future events.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,TRUE
acts_on_autopilot,mindfulness,I find myself going through my day on autopilot.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,TRUE
controls_emotions,emotional_regulation,It is easy for me to control my emotions.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
emotions_do_not_get_the_best_of_them,emotional_regulation,It is unusual for me to let my emotions get the best of me.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
emotions_do_not_control_behavior,emotional_regulation,I never let my emotions control my behavior.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
gets_back_on_track,resilience,It is easy for me to get back on track when something goes wrong.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,agile,thriving,FALSE
recovers_from_stressful_experiences,resilience,I recover quickly after stressful experiences.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,agile,thriving,FALSE
copes_with_setbacks,resilience,It is easy for me to cope with setbacks.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,agile,thriving,FALSE
likes_to_stretch_capabilities,growth_mindset,I like activities that stretch what I am capable of.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,agile,thriving,FALSE
enjoys_challenging_projects,growth_mindset,I enjoy challenging projects.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,agile,thriving,FALSE
enjoys_learning_from_projects,growth_mindset,I enjoy taking on projects that allow me to learn something new.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,agile,thriving,FALSE
can_achieve_anything,sense_of_control,I can achieve anything that I set my mind to.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,agile,thriving,FALSE
believes_can_achieve_things_they_want,sense_of_control,I believe I can achieve the things that I want in life.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,agile,thriving,FALSE
believes_has_control_over_life,sense_of_control,I believe that I have complete control over my own life.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,agile,thriving,FALSE
believes_it_is_better_to_try_and_fail,risk_tolerance,I believe it is better to try and fail than to not try at all.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,agile,thriving,FALSE
expects_mistakes_for_new_projects,risk_tolerance,I expect to make mistakes when I am trying something new,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,agile,thriving,FALSE
believes_growth_requires_risks,risk_tolerance,I believe that growth requires taking risks that may result in failure.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,agile,thriving,FALSE
team_openly_discusses_problems,open_communication,I make sure team members are able to openly discuss problems and tough issues.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,includes,inspiring,FALSE
ensures_others_are_comfortable_providing_feedback,open_communication,"During team discussions, I make sure others feel comfortable giving me feedback.",1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,includes,inspiring,FALSE
encourages_team_to_ask_for_help,open_communication,I encourage members of my team to ask for my help when they need it.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,includes,inspiring,FALSE
encourages_others_to_share_ideas,participation,"During team discussions, I encourage others to share their ideas.",1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,includes,inspiring,FALSE
encourages_others_to_participate_in_discussions,participation,I encourage team members who do not often speak up to participate in discussions.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,includes,inspiring,FALSE
includes_team_in_discussions,participation,I make sure that all team members are involved in important discussions that impact them.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,includes,inspiring,FALSE
has_high_quality_relationships_with_coworkers,positive_relationships,I have high quality relationships with my coworkers.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,includes,inspiring,FALSE
knows_coworkers_personally,positive_relationships,I get to know my coworkers on a personal level.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,includes,inspiring,FALSE
trusts_coworkers,positive_relationships,I have a high level of trust with my coworkers.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,includes,inspiring,FALSE
cultivates_trust,trust_climate,I make efforts to cultivate trust amongst my team members.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,includes,inspiring,FALSE
coworkers_can_discuss_problems,trust_climate,My coworkers feel comfortable bringing problems to me when they arise.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,includes,inspiring,FALSE
prevents_cliques_on_teams,trust_climate,"I make efforts to ensure that there is not an ""in-group"" and an ""out-group"" on my team.",1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,includes,inspiring,FALSE
expresses_energy_and_passion,inspire,I express energy/passion at work so that it spreads throughout our team.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,elevates,inspiring,FALSE
inspires_coworkers_to_think_creatively,inspire,I inspire my coworkers to think about their work in new and exciting ways.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,elevates,inspiring,FALSE
communicates_vision_to_coworkers,inspire,I communicate my vision for the future to my coworkers.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,elevates,inspiring,FALSE
has_open_conversations,coaching,I have open conversations with my team members about how they can be more effective in their role.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,elevates,inspiring,FALSE
helps_coworkers_craft_career_goals,coaching,I help coworkers think through their long-term career goals.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,elevates,inspiring,FALSE
suggests_coworkers_growth_opportunities,coaching,I suggest opportunities to my coworkers that will help them grow and develop.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,elevates,inspiring,FALSE
acknowledges_individuals,recognizing,I acknowledge individuals on my team when they produce high quality work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,elevates,inspiring,FALSE
acknowledges_team_for_great_work,recognizing,I acknowledge my team collectively when we produce high quality work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,elevates,inspiring,FALSE
acknowledges_coworker_for_effort,recognizing,"When a coworker works particularly hard, I make a point of acknowledging their extra effort.",1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,elevates,inspiring,FALSE
allows_team_to_decide_best_way,ownership,I allow my team members to decide the best way to complete their job tasks.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,elevates,inspiring,FALSE
gives_coworkers_autonomy,ownership,I give my coworkers the autonomy to make important decisions on their own.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,elevates,inspiring,FALSE
helps_coworkers_feel_ownership,ownership,I help my coworkers feel ownership over the work they do.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,elevates,inspiring,FALSE
ensures_clear_understanding_of_responsibilities,alignment,I make sure that everyone on my team has a clear understanding of their responsibilities.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,drives,inspiring,FALSE
ensures_coworkers_have_resources,alignment,I make sure that my coworkers have everything they need to be successful.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,drives,inspiring,FALSE
ensures_coworkers_understand_goals,alignment,I make sure my coworkers have a clear understanding of what we are trying to achieve.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,drives,inspiring,FALSE
finds_creative_ways_to_solve_problems,problem_solving,I am good at finding creative ways to help my team solve problems.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,drives,inspiring,FALSE
discusses_problem_solving_with_coworkers,problem_solving,I regularly have open discussions with my coworkers about how we can solve problems most effectively.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,drives,inspiring,FALSE
develops_strategies_with_coworkers,problem_solving,I am good at working with coworkers to develop successful strategies.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,drives,inspiring,FALSE
provides_feedback,feedback,I provide feedback to coworkers that helps them perform tasks more effectively.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,drives,inspiring,FALSE
compliments_team_members,feedback,I let my team members know what they are doing well so they can continue to build on their strengths.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,drives,inspiring,FALSE
provides_feedback_to_coworkers,feedback,"I provide feedback on what coworkers can do better in the future, rather than pointing out their mistakes.",1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,drives,inspiring,FALSE
uses_logic_to_persuade,influence,"I use logic, rather than just my opinion, to convince others of my ideas.",1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,drives,inspiring,FALSE
uses_goal_alignment_to_persuade,influence,"To persuade others, I explain how my proposed ideas align with team goals.",1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,drives,inspiring,FALSE
asks_for_input_on_new_ideas,influence,I ask others for their input to get them onboard with new ideas.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,drives,inspiring,FALSE
